Unnamed: 0,Year,Player,Pos,Age,Tm,G,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,WS,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
17,1950.0,Bob Brannum,PF,24.0,SHE,59.0,,0.408,,,,,,,,1.6,,,0.326,,0.326,0.326,0.69,,205.0,,,,713.0
18,1950.0,Carl Braun,G-F,22.0,NYK,67.0,,0.434,,,,,,,,7.2,,,0.364,,0.364,0.364,0.762,,247.0,,,,1031.0
19,1950.0,Frankie Brian,G,26.0,AND,64.0,,0.415,,,,,,,,9.2,,,0.318,,0.318,0.318,0.8240000000000001,,189.0,,,,1138.0
20,1950.0,Price Brookfield,F-G,29.0,ROC,7.0,,0.5920000000000001,,,,,,,,0.5,,,0.478,,0.478,0.478,0.9229999999999999,,1.0,,,,34.0
21,1950.0,Bob Brown,F,26.0,DNN,62.0,,0.414,,,,,,,,1.2,,,0.361,,0.361,0.361,0.6829999999999999,,101.0,,,,724.0
22,1950.0,Jim Browne,C,20.0,DNN,31.0,,0.392,,,,,,,,0.0,,,0.354,,0.354,0.354,0.48100000000000004,,8.0,,,,47.0
23,1950.0,Walt Budko,PF,24.0,BLB,66.0,,0.38799999999999996,,,,,,,,2.7,,,0.304,,0.304,0.304,0.757,,146.0,,,,595.0
24,1950.0,Jack Burmaster,G,23.0,SHE,61.0,,0.37799999999999995,,,,,,,,-0.4,,,0.33299999999999996,,0.33299999999999996,0.33299999999999996,0.6809999999999999,,179.0,,,,598.0
25,1950.0,Tommy Byrnes,F-G,26.0,BLB,53.0,,0.36200000000000004,,,,,,,,0.3,,,0.302,,0.302,0.302,0.7020000000000001,,88.0,,,,327.0
26,1950.0,Bill Calhoun,SG,22.0,ROC,62.0,,0.439,,,,,,,,4.5,,,0.377,,0.377,0.377,0.7190000000000001,,115.0,,,,560.0
27,1950.0,Don Carlson,G-F,30.0,MNL,57.0,,0.402,,,,,,,,2.6,,,0.341,,0.341,0.341,0.726,,76.0,,,,267.0
28,1950.0,Bob Carpenter,F-C,32.0,FTW,66.0,,0.42100000000000004,,,,,,,,5.0,,,0.344,,0.344,0.344,0.742,,92.0,,,,614.0
29,1950.0,Jake Carter,F-C,25.0,TOT,24.0,,0.41700000000000004,,,,,,,,0.7,,,0.307,,0.307,0.307,0.679,,24.0,,,,82.0
30,1950.0,Jake Carter,F-C,25.0,DNN,13.0,,0.39,,,,,,,,0.0,,,0.289,,0.289,0.289,0.6920000000000001,,16.0,,,,44.0
31,1950.0,Jake Carter,F-C,25.0,AND,11.0,,0.45399999999999996,,,,,,,,0.7,,,0.33299999999999996,,0.33299999999999996,0.33299999999999996,0.667,,8.0,,,,38.0
32,1950.0,Al Cervi*,PG,32.0,SYR,56.0,,0.491,,,,,,,,9.3,,,0.332,,0.332,0.332,0.8290000000000001,,264.0,,,,573.0
33,1950.0,John Chaney,F-C,29.0,TOT,16.0,,0.354,,,,,,,,-0.1,,,0.29100000000000004,,0.29100000000000004,0.29100000000000004,0.69,,20.0,,,,70.0
34,1950.0,John Chaney,F-C,29.0,TRI,6.0,,0.331,,,,,,,,0.0,,,0.27,,0.27,0.27,0.667,,15.0,,,,28.0
35,1950.0,John Chaney,F-C,29.0,SHE,10.0,,0.37200000000000005,,,,,,,,-0.1,,,0.306,,0.306,0.306,0.706,,5.0,,,,42.0
36,1950.0,Leroy Chollet,F,24.0,SYR,49.0,,0.385,,,,,,,,0.9,,,0.341,,0.341,0.341,0.625,,37.0,,,,157.0
37,1950.0,Bill Closs,SF,28.0,AND,64.0,,0.37200000000000005,,,,,,,,4.4,,,0.315,,0.315,0.315,0.718,,160.0,,,,752.0
38,1950.0,Paul Cloyd,G-F,29.0,TOT,7.0,,0.322,,,,,,,,-0.1,,,0.26899999999999996,,0.26899999999999996,0.26899999999999996,0.625,,2.0,,,,19.0
39,1950.0,Paul Cloyd,G-F,29.0,BLB,3.0,,0.268,,,,,,,,-0.1,,,0.125,,0.125,0.125,1.0,,1.0,,,,5.0
40,1950.0,Paul Cloyd,G-F,29.0,WAT,4.0,,0.34700000000000003,,,,,,,,-0.1,,,0.33299999999999996,,0.33299999999999996,0.33299999999999996,0.4,,1.0,,,,14.0
41,1950.0,Jack Coleman,PF,25.0,ROC,68.0,,0.41200000000000003,,,,,,,,4.3,,,0.377,,0.377,0.377,0.7440000000000001,,153.0,,,,590.0
42,1950.0,Bobby Cook,G-F,26.0,SHE,51.0,,0.42,,,,,,,,1.9,,,0.358,,0.358,0.358,0.79,,158.0,,,,587.0
43,1950.0,Ray Corley,G,22.0,SYR,60.0,,0.365,,,,,,,,1.2,,,0.316,,0.316,0.316,0.615,,109.0,,,,309.0
44,1950.0,Jack Cotton,F-C,25.0,DNN,54.0,,0.34299999999999997,,,,,,,,-1.5,,,0.292,,0.292,0.292,0.509,,65.0,,,,276.0
45,1950.0,Dillard Crocker,PF,25.0,DNN,53.0,,0.369,,,,,,,,-1.7,,,0.292,,0.292,0.292,0.735,,85.0,,,,723.0
46,1950.0,Chink Crossin,G,26.0,PHW,64.0,,0.363,,,,,,,,2.1,,,0.322,,0.322,0.322,0.782,,148.0,,,,449.0
47,1950.0,Fran Curran,G,27.0,ROC,66.0,,0.579,,,,,,,,6.6,,,0.41700000000000004,,0.41700000000000004,0.41700000000000004,0.826,,71.0,,,,395.0
48,1950.0,Jimmy Darden,G,27.0,DNN,26.0,,0.379,,,,,,,,-0.2,,,0.321,,0.321,0.321,0.688,,67.0,,,,211.0
49,1950.0,Bob Davies*,PG,30.0,ROC,64.0,,0.43,,,,,,,,7.7,,,0.35700000000000004,,0.35700000000000004,0.35700000000000004,0.752,,294.0,,,,895.0
50,1950.0,Hook Dillon,F,26.0,WSC,22.0,,0.278,,,,,,,,-0.4,,,0.182,,0.182,0.182,0.727,,5.0,,,,36.0
51,1950.0,Earl Dodd,F,25.0,DNN,9.0,,0.257,,,,,,,,-0.3,,,0.222,,0.222,0.222,0.6,,6.0,,,,15.0
52,1950.0,Joe Dolhon,G,22.0,BLB,64.0,,0.401,,,,,,,,3.0,,,0.312,,0.312,0.312,0.7340000000000001,,155.0,,,,443.0
53,1950.0,Bob Doll,F-C,30.0,BOS,47.0,,0.397,,,,,,,,1.6,,,0.34600000000000003,,0.34600000000000003,0.34600000000000003,0.6579999999999999,,108.0,,,,315.0
54,1950.0,Harry Donovan,G,23.0,NYK,45.0,,0.39299999999999996,,,,,,,,1.0,,,0.327,,0.327,0.327,0.6890000000000001,,38.0,,,,253.0
55,1950.0,Andy Duncan,F-C,27.0,ROC,67.0,,0.461,,,,,,,,3.4,,,0.433,,0.433,0.433,0.556,,42.0,,,,310.0
56,1950.0,Dike Eddleman,SF,27.0,TRI,64.0,,0.405,,,,,,,,3.7,,,0.366,,0.366,0.366,0.623,,142.0,,,,826.0
57,1950.0,Gene Englund,F-C,32.0,TOT,46.0,,0.502,,,,,,,,4.2,,,0.38,,0.38,0.38,0.792,,41.0,,,,360.0
58,1950.0,Gene Englund,F-C,32.0,BOS,24.0,,0.503,,,,,,,,2.3,,,0.37200000000000005,,0.37200000000000005,0.37200000000000005,0.8109999999999999,,17.0,,,,196.0
59,1950.0,Gene Englund,F-C,32.0,TRI,22.0,,0.5,,,,,,,,1.9,,,0.389,,0.389,0.389,0.767,,24.0,,,,164.0
60,1950.0,Bob Evans,G,24.0,INO,47.0,,0.324,,,,,,,,-0.3,,,0.28,,0.28,0.28,0.682,,55.0,,,,142.0
61,1950.0,Johnny Ezersky,F-G,27.0,TOT,54.0,,0.364,,,,,,,,0.5,,,0.294,,0.294,0.294,0.6940000000000001,,86.0,,,,413.0
62,1950.0,Johnny Ezersky,F-G,27.0,BLB,38.0,,0.374,,,,,,,,0.7,,,0.305,,0.305,0.305,0.6970000000000001,,64.0,,,,306.0
63,1950.0,Johnny Ezersky,F-G,27.0,BOS,16.0,,0.33799999999999997,,,,,,,,-0.2,,,0.265,,0.265,0.265,0.6859999999999999,,22.0,,,,107.0
64,1950.0,Bob Feerick,F-G,30.0,WSC,60.0,,0.419,,,,,,,,3.6,,,0.344,,0.344,0.344,0.799,,127.0,,,,483.0
65,1950.0,George Feigenbaum,G,20.0,BLB,12.0,,0.27699999999999997,,,,,,,,-0.4,,,0.24600000000000002,,0.24600000000000002,0.24600000000000002,0.444,,10.0,,,,36.0
66,1950.0,Arnie Ferrin,F-G,24.0,MNL,63.0,,0.38299999999999995,,,,,,,,2.6,,,0.33299999999999996,,0.33299999999999996,0.33299999999999996,0.6970000000000001,,95.0,,,,340.0
67,1950.0,Jerry Fleishman,SG,27.0,PHW,65.0,,0.354,,,,,,,,1.6,,,0.289,,0.289,0.289,0.616,,118.0,,,,297.0
68,1950.0,Joe Fulks*,PF,28.0,PHW,68.0,,0.34600000000000003,,,,,,,,-0.8,,,0.278,,0.278,0.278,0.696,,56.0,,,,965.0
69,1950.0,Bill Gabor,SG,27.0,SYR,56.0,,0.395,,,,,,,,3.5,,,0.337,,0.337,0.337,0.6890000000000001,,108.0,,,,609.0
70,1950.0,Elmer Gainer,F-C,31.0,WAT,15.0,,0.312,,,,,,,,-0.3,,,0.257,,0.257,0.257,0.75,,7.0,,,,24.0
71,1950.0,Harry Gallatin*,F-C,22.0,NYK,68.0,,0.48700000000000004,,,,,,,,7.8,,,0.396,,0.396,0.396,0.757,,56.0,,,,803.0
72,1950.0,Vern Gardner,SG,24.0,PHW,63.0,,0.408,,,,,,,,5.9,,,0.342,,0.342,0.342,0.767,,119.0,,,,853.0
73,1950.0,Frank Gates,G,29.0,AND,64.0,,0.322,,,,,,,,1.3,,,0.281,,0.281,0.281,0.622,,91.0,,,,287.0
74,1950.0,Dee Gibson,F-G,26.0,TRI,44.0,,0.435,,,,,,,,2.7,,,0.314,,0.314,0.314,0.718,,126.0,,,,281.0
75,1950.0,Hoot Gibson,F-C,28.0,TOT,32.0,,0.39399999999999996,,,,,,,,0.0,,,0.344,,0.344,0.344,0.6559999999999999,,37.0,,,,176.0
76,1950.0,Hoot Gibson,F-C,28.0,BOS,2.0,,0.608,,,,,,,,0.1,,,0.75,,0.75,0.75,0.25,,1.0,,,,7.0
77,1950.0,Hoot Gibson,F-C,28.0,WAT,30.0,,0.389,,,,,,,,-0.1,,,0.335,,0.335,0.335,0.6829999999999999,,36.0,,,,169.0
78,1950.0,Chuck Gilmur,F-C,27.0,WSC,68.0,,0.431,,,,,,,,4.3,,,0.335,,0.335,0.335,0.68,,108.0,,,,418.0
79,1950.0,Normie Glick,F,22.0,MNL,1.0,,1.0,,,,,,,,0.1,,,1.0,,1.0,1.0,,,0.0,,,,2.0
80,1950.0,Paul Gordon,F,22.0,BLB,4.0,,0.183,,,,,,,,-0.1,,,0.0,,0.0,0.0,0.6,,3.0,,,,3.0
81,1950.0,Joe Graboski,F-C,20.0,CHS,57.0,,0.355,,,,,,,,0.6,,,0.304,,0.304,0.304,0.596,,37.0,,,,203.0
82,1950.0,Bud Grant,F,22.0,MNL,35.0,,0.371,,,,,,,,0.5,,,0.365,,0.365,0.365,0.41200000000000003,,19.0,,,,91.0
83,1950.0,Don Grate,F-G,26.0,SHE,2.0,,0.29100000000000004,,,,,,,,0.0,,,0.16699999999999998,,0.16699999999999998,0.16699999999999998,1.0,,3.0,,,,4.0
84,1950.0,Alex Groza,C,23.0,INO,64.0,,0.5479999999999999,,,,,,,,17.9,,,0.478,,0.478,0.478,0.7290000000000001,,162.0,,,,1496.0
85,1950.0,Al Guokas,F-G,24.0,TOT,57.0,,0.33299999999999996,,,,,,,,-1.0,,,0.311,,0.311,0.311,0.56,,95.0,,,,214.0
86,1950.0,Al Guokas,F-G,24.0,DNN,41.0,,0.33799999999999997,,,,,,,,-1.1,,,0.317,,0.317,0.317,0.532,,85.0,,,,197.0
87,1950.0,Al Guokas,F-G,24.0,PHW,16.0,,0.29,,,,,,,,0.1,,,0.25,,0.25,0.25,1.0,,10.0,,,,17.0
88,1950.0,Robert Hahn,C,24.0,CHS,10.0,,0.311,,,,,,,,0.1,,,0.308,,0.308,0.308,0.28600000000000003,,1.0,,,,10.0
89,1950.0,Chick Halbert,C,30.0,WSC,68.0,,0.45399999999999996,,,,,,,,3.6,,,0.38,,0.38,0.38,0.64,,89.0,,,,328.0
90,1950.0,Bruce Hale,G-F,31.0,INO,64.0,,0.444,,,,,,,,5.1,,,0.353,,0.353,0.353,0.782,,226.0,,,,657.0
91,1950.0,Dale Hamilton,G-F,30.0,WAT,14.0,,0.302,,,,,,,,-0.3,,,0.242,,0.242,0.242,0.474,,17.0,,,,25.0
92,1950.0,Alex Hannum*,PF,26.0,SYR,64.0,,0.423,,,,,,,,5.1,,,0.363,,0.363,0.363,0.688,,129.0,,,,482.0
93,1950.0,John Hargis,G-F,29.0,AND,60.0,,0.479,,,,,,,,8.4,,,0.405,,0.405,0.405,0.711,,102.0,,,,643.0
94,1950.0,Bob Harris,F-C,22.0,FTW,62.0,,0.423,,,,,,,,5.0,,,0.361,,0.361,0.361,0.628,,129.0,,,,476.0
95,1950.0,Bob Harrison,G,22.0,MNL,66.0,,0.39399999999999996,,,,,,,,3.5,,,0.359,,0.359,0.359,0.6759999999999999,,131.0,,,,300.0
96,1950.0,Billy Hassett,G,28.0,TOT,60.0,,0.365,,,,,,,,1.8,,,0.278,,0.278,0.278,0.6459999999999999,,137.0,,,,272.0
97,1950.0,Billy Hassett,G,28.0,TRI,18.0,,0.406,,,,,,,,1.1,,,0.293,,0.293,0.293,0.7340000000000001,,68.0,,,,161.0
98,1950.0,Billy Hassett,G,28.0,MNL,42.0,,0.318,,,,,,,,0.7,,,0.262,,0.262,0.262,0.522,,69.0,,,,111.0
99,1950.0,Marshall Hawkins,F,25.0,INO,39.0,,0.34299999999999997,,,,,,,,-0.1,,,0.282,,0.282,0.282,0.6890000000000001,,51.0,,,,152.0
100,1950.0,Bill Henry,C,25.0,TOT,63.0,,0.41600000000000004,,,,,,,,2.5,,,0.32,,0.32,0.32,0.67,,48.0,,,,296.0
101,1950.0,Bill Henry,C,25.0,FTW,44.0,,0.405,,,,,,,,1.9,,,0.311,,0.311,0.311,0.672,,39.0,,,,214.0
102,1950.0,Bill Henry,C,25.0,TRI,19.0,,0.44799999999999995,,,,,,,,0.6,,,0.348,,0.348,0.348,0.667,,9.0,,,,82.0
103,1950.0,Bill Herman,G,25.0,DNN,13.0,,0.401,,,,,,,,0.1,,,0.385,,0.385,0.385,0.545,,15.0,,,,56.0
104,1950.0,Kleggie Hermsen,C-F,26.0,CHS,67.0,,0.377,,,,,,,,3.0,,,0.319,,0.319,0.319,0.619,,98.0,,,,545.0
105,1950.0,Sonny Hertzberg,G,27.0,BOS,68.0,,0.365,,,,,,,,0.7,,,0.318,,0.318,0.318,0.7490000000000001,,200.0,,,,693.0
106,1950.0,Paul Hoffman,G-F,24.0,BLB,60.0,,0.40299999999999997,,,,,,,,4.1,,,0.341,,0.341,0.341,0.665,,161.0,,,,866.0
107,1950.0,Joe Holland,SF,24.0,INO,64.0,,0.376,,,,,,,,1.2,,,0.32,,0.32,0.32,0.69,,130.0,,,,388.0
108,1950.0,Red Holzman*,PG,29.0,ROC,68.0,,0.38799999999999996,,,,,,,,2.5,,,0.33,,0.33,0.33,0.6859999999999999,,200.0,,,,556.0
109,1950.0,Gene James,F,24.0,NYK,29.0,,0.335,,,,,,,,0.1,,,0.297,,0.297,0.297,0.452,,20.0,,,,52.0
110,1950.0,Howie Janotta,F,25.0,BLB,9.0,,0.418,,,,,,,,0.2,,,0.3,,0.3,0.3,0.813,,4.0,,,,31.0
111,1950.0,Tony Jaros,F-G,29.0,MNL,61.0,,0.36200000000000004,,,,,,,,1.3,,,0.29100000000000004,,0.29100000000000004,0.29100000000000004,0.75,,60.0,,,,240.0
112,1950.0,Buddy Jeannette*,G,32.0,BLB,37.0,,0.467,,,,,,,,2.6,,,0.284,,0.284,0.284,0.82,,93.0,,,,193.0
113,1950.0,Arnie Johnson,SF,29.0,ROC,68.0,,0.493,,,,,,,,7.2,,,0.396,,0.396,0.396,0.68,,141.0,,,,498.0
114,1950.0,Ralph Johnson,PG,28.0,TOT,67.0,,0.353,,,,,,,,2.9,,,0.312,,0.312,0.312,0.8059999999999999,,171.0,,,,590.0
115,1950.0,Ralph Johnson,PG,28.0,AND,35.0,,0.364,,,,,,,,2.4,,,0.312,,0.312,0.312,0.855,,104.0,,,,337.0
116,1950.0,Ralph Johnson,PG,28.0,FTW,32.0,,0.33899999999999997,,,,,,,,0.5,,,0.312,,0.312,0.312,0.7170000000000001,,67.0,,,,253.0
117,1950.0,Wah Wah,PF,23.0,INO,60.0,,0.449,,,,,,,,5.9,,,0.374,,0.374,0.374,0.7509999999999999,,194.0,,,,751.0
118,1950.0,Noble Jorgensen,C,24.0,SHE,54.0,,0.456,,,,,,,,3.8,,,0.353,,0.353,0.353,0.7659999999999999,,90.0,,,,704.0
119,1950.0,George Kaftan,SF,21.0,BOS,55.0,,0.426,,,,,,,,3.4,,,0.37200000000000005,,0.37200000000000005,0.37200000000000005,0.654,,145.0,,,,534.0
120,1950.0,Leo Katkaveck,G,26.0,WSC,54.0,,0.33299999999999996,,,,,,,,-0.2,,,0.306,,0.306,0.306,0.607,,68.0,,,,236.0
121,1950.0,Jack Kerris,PF,25.0,TOT,68.0,,0.406,,,,,,,,4.1,,,0.326,,0.326,0.326,0.65,,118.0,,,,483.0
122,1950.0,Jack Kerris,PF,25.0,TRI,4.0,,0.41600000000000004,,,,,,,,0.2,,,0.308,,0.308,0.308,0.833,,8.0,,,,26.0
123,1950.0,Jack Kerris,PF,25.0,FTW,64.0,,0.405,,,,,,,,3.9,,,0.327,,0.327,0.327,0.6409999999999999,,110.0,,,,457.0
124,1950.0,Bob Kinney,C-F,29.0,BOS,60.0,,0.43799999999999994,,,,,,,,4.8,,,0.375,,0.375,0.375,0.628,,100.0,,,,667.0
125,1950.0,Walt Kirk,PG,25.0,TOT,58.0,,0.38299999999999995,,,,,,,,2.3,,,0.26899999999999996,,0.26899999999999996,0.26899999999999996,0.718,,103.0,,,,349.0
126,1950.0,Walt Kirk,PG,25.0,AND,26.0,,0.368,,,,,,,,1.3,,,0.248,,0.248,0.248,0.687,,43.0,,,,119.0
127,1950.0,Walt Kirk,PG,25.0,TRI,32.0,,0.39,,,,,,,,1.1,,,0.28,,0.28,0.28,0.737,,60.0,,,,230.0
128,1950.0,Leo Klier,F-G,26.0,FTW,66.0,,0.379,,,,,,,,3.0,,,0.304,,0.304,0.304,0.742,,121.0,,,,455.0
129,1950.0,Duane Klueh,G,24.0,TOT,52.0,,0.46399999999999997,,,,,,,,3.7,,,0.384,,0.384,0.384,0.7070000000000001,,91.0,,,,475.0
130,1950.0,Duane Klueh,G,24.0,DNN,33.0,,0.44799999999999995,,,,,,,,1.6,,,0.364,,0.364,0.364,0.725,,63.0,,,,331.0
131,1950.0,Duane Klueh,G,24.0,FTW,19.0,,0.506,,,,,,,,2.1,,,0.43799999999999994,,0.43799999999999994,0.43799999999999994,0.667,,28.0,,,,144.0
132,1950.0,Lee Knorek,C,28.0,BLB,1.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,0.0
133,1950.0,Milo Komenich,F-C,29.0,AND,64.0,,0.326,,,,,,,,1.4,,,0.28300000000000003,,0.28300000000000003,0.28300000000000003,0.584,,124.0,,,,634.0
134,1950.0,Leo Kubiak,G,22.0,WAT,62.0,,0.395,,,,,,,,0.5,,,0.326,,0.326,0.326,0.8140000000000001,,201.0,,,,710.0
135,1950.0,Frank Kudelka,G-F,24.0,CHS,65.0,,0.36700000000000005,,,,,,,,2.4,,,0.326,,0.326,0.326,0.636,,132.0,,,,433.0
136,1950.0,Walt Lautenbach,G-F,27.0,SHE,55.0,,0.33399999999999996,,,,,,,,-1.3,,,0.301,,0.301,0.301,0.691,,73.0,,,,238.0
137,1950.0,Tony Lavelli,F,23.0,BOS,56.0,,0.47100000000000003,,,,,,,,4.2,,,0.37200000000000005,,0.37200000000000005,0.37200000000000005,0.853,,40.0,,,,492.0
138,1950.0,Ed Leede,F-G,22.0,BOS,64.0,,0.442,,,,,,,,4.5,,,0.34299999999999997,,0.34299999999999997,0.34299999999999997,0.706,,130.0,,,,571.0
139,1950.0,Andrew Levane,F-G,29.0,SYR,60.0,,0.365,,,,,,,,1.8,,,0.33299999999999996,,0.33299999999999996,0.33299999999999996,0.635,,156.0,,,,332.0
140,1950.0,Freddie Lewis,F-G,29.0,TOT,34.0,,0.295,,,,,,,,-0.9,,,0.25,,0.25,0.25,0.7809999999999999,,25.0,,,,117.0
141,1950.0,Freddie Lewis,F-G,29.0,BLB,18.0,,0.266,,,,,,,,-0.9,,,0.22699999999999998,,0.22699999999999998,0.22699999999999998,0.684,,18.0,,,,63.0
142,1950.0,Freddie Lewis,F-G,29.0,PHW,16.0,,0.33899999999999997,,,,,,,,0.0,,,0.284,,0.284,0.284,0.9229999999999999,,7.0,,,,54.0
143,1950.0,Ron Livingstone,C,24.0,TOT,54.0,,0.341,,,,,,,,1.4,,,0.282,,0.282,0.282,0.6890000000000001,,141.0,,,,448.0
144,1950.0,Ron Livingstone,C,24.0,BLB,16.0,,0.348,,,,,,,,0.1,,,0.245,,0.245,0.245,0.7609999999999999,,24.0,,,,85.0
145,1950.0,Ron Livingstone,C,24.0,PHW,38.0,,0.33899999999999997,,,,,,,,1.3,,,0.289,,0.289,0.289,0.664,,117.0,,,,363.0
146,1950.0,John Logan,G,29.0,STB,62.0,,0.419,,,,,,,,4.3,,,0.331,,0.331,0.331,0.7829999999999999,,240.0,,,,755.0
147,1950.0,Ray Lumpp,G,26.0,NYK,58.0,,0.405,,,,,,,,1.7,,,0.322,,0.322,0.322,0.7959999999999999,,90.0,,,,268.0
148,1950.0,Ed Macauley*,C-F,21.0,STB,67.0,,0.485,,,,,,,,10.6,,,0.39799999999999996,,0.39799999999999996,0.39799999999999996,0.718,,200.0,,,,1081.0
149,1950.0,Johnny Macknowski,G-F,27.0,SYR,59.0,,0.405,,,,,,,,2.8,,,0.33299999999999996,,0.33299999999999996,0.33299999999999996,0.736,,65.0,,,,439.0
150,1950.0,John Mahnken,C,27.0,TOT,62.0,,0.313,,,,,,,,-1.0,,,0.267,,0.267,0.267,0.67,,108.0,,,,341.0
151,1950.0,John Mahnken,C,27.0,FTW,2.0,,0.376,,,,,,,,0.1,,,0.375,,0.375,0.375,0.33299999999999996,,2.0,,,,7.0
152,1950.0,John Mahnken,C,27.0,TRI,36.0,,0.316,,,,,,,,-0.6,,,0.266,,0.266,0.266,0.6970000000000001,,64.0,,,,223.0
153,1950.0,John Mahnken,C,27.0,BOS,24.0,,0.302,,,,,,,,-0.5,,,0.262,,0.262,0.262,0.639,,42.0,,,,111.0
154,1950.0,John Mandic,F-C,30.0,TOT,25.0,,0.37,,,,,,,,0.3,,,0.293,,0.293,0.293,0.688,,8.0,,,,66.0
155,1950.0,John Mandic,F-C,30.0,WSC,22.0,,0.396,,,,,,,,0.4,,,0.32299999999999995,,0.32299999999999995,0.32299999999999995,0.667,,7.0,,,,62.0
156,1950.0,John Mandic,F-C,30.0,BLB,3.0,,0.184,,,,,,,,-0.1,,,0.1,,0.1,0.1,1.0,,1.0,,,,4.0
157,1950.0,Slater Martin*,PG,24.0,MNL,67.0,,0.395,,,,,,,,3.5,,,0.35100000000000003,,0.35100000000000003,0.35100000000000003,0.634,,148.0,,,,271.0
158,1950.0,Ariel Maughan,F,26.0,STB,68.0,,0.359,,,,,,,,-0.5,,,0.27899999999999997,,0.27899999999999997,0.27899999999999997,0.7659999999999999,,101.0,,,,477.0
159,1950.0,Matt Mazza,F,26.0,SHE,26.0,,0.37799999999999995,,,,,,,,0.0,,,0.3,,0.3,0.3,0.711,,29.0,,,,98.0
160,1950.0,Mike McCarron,G,27.0,TOT,8.0,,0.262,,,,,,,,-0.1,,,0.2,,0.2,0.2,0.6,,3.0,,,,9.0
161,1950.0,Mike McCarron,G,27.0,BLB,3.0,,0.316,,,,,,,,0.0,,,0.2,,0.2,0.2,0.667,,1.0,,,,4.0
162,1950.0,Mike McCarron,G,27.0,STB,5.0,,0.23,,,,,,,,-0.1,,,0.2,,0.2,0.2,0.5,,2.0,,,,5.0
163,1950.0,Dick McGuire*,PG,24.0,NYK,68.0,,0.41700000000000004,,,,,,,,5.3,,,0.337,,0.337,0.337,0.652,,386.0,,,,584.0
164,1950.0,Bones McKinney,SF,31.0,WSC,53.0,,0.35200000000000004,,,,,,,,0.2,,,0.29600000000000004,,0.29600000000000004,0.29600000000000004,0.7759999999999999,,88.0,,,,492.0
